PM_Diff_Amt,PM_Diff_Category_Val,Precip_12AM-6AM,Precip_6AM-10AM,Precip_6AM-12PM,WindSpeed_12AM-6AM_avg_val,WindSpeed_6AM-10AM_avg_val,WindSpeed_10AM-2PM_avg_val,open_price,prior_day_open_price,prior_day_open_diff,prior_day_trend,yesterday_avg_diff,yesterday_avg_trend
-4.0,Same_Activity,No Precip,No Precip,No Precip,1.83,8.63,17.25,13.623,13.813,-0.19,Significantly Worse (<-.10),-0.0258,Slightly Worse (<-.02)
0.0,Same_Activity,No Precip,No Precip,No Precip,1.5,1.13,2.5,13.223,13.345,-0.1225,Significantly Worse (<-.10),-0.3725,Significantly Worse (<-.10)
0.0,Same_Activity,Light Precip,Precip,Precip,14.07,15.93,14.5,13.3,13.274,0.0258,Slightly Better (>.02),0.0388,Slightly Better (>.02)
-17.0,Less_Activity,No Precip,No Precip,No Precip,8.58,13.88,15.38,13.353,13.3,0.0525,Better (>.05),0.0388,Slightly Better (>.02)
-26.0,Less_Activity,No Precip,Light Precip,No Precip,5.75,6.2,6.25,13.4,13.353,0.0475,Slightly Better (>.02),0.0654,Better (>.05)
-24.0,Less_Activity,No Precip,No Precip,No Precip,4.08,12.25,9.3,13.41,13.4,0.01,Nominal Change,0.0738,Better (>.05)
-24.0,Less_Activity,No Precip,No Precip,No Precip,10.55,12.88,14.38,13.51,13.41,0.1,Better (>.05),0.0338,Slightly Better (>.02)
5.0,Same_Activity,No Precip,No Precip,No Precip,6.33,7.5,10.25,13.23,13.323,-0.0933,Worse (<-.05),-0.14,Significantly Worse (<-.10)
-8.0,Less_Activity,No Precip,No Precip,No Precip,3.58,11.88,8.13,13.405,13.23,0.175,Significantly Better (>.10),-0.14,Significantly Worse (<-.10)
-6.0,Less_Activity,No Precip,No Precip,No Precip,3.58,4.25,12.13,13.75,13.405,0.345,Significantly Better (>.10),0.1283,Significantly Better (>.10)
-4.0,Same_Activity,No Precip,No Precip,No Precip,3.5,7.3,8.75,13.68,13.75,-0.07,Worse (<-.05),0.4325,Significantly Better (>.10)
-2.0,Same_Activity,No Precip,No Precip,Light Precip,8.75,11.25,15.38,13.71,13.68,0.03,Slightly Better (>.02),0.1025,Significantly Better (>.10)
-12.0,Less_Activity,Precip,Precip,Precip,14.0,11.95,7.6,13.718,13.71,0.0083,Nominal Change,-0.005,Nominal Change
-1.0,Same_Activity,Light Precip,No Precip,No Precip,10.08,13.5,13.58,13.735,13.727,0.0083,Nominal Change,0.0125,Nominal Change
4.0,Same_Activity,No Precip,No Precip,No Precip,7.25,11.75,10.88,13.72,13.735,-0.015,Nominal Change,0.0125,Nominal Change
4.0,Same_Activity,Light Precip,No Precip,No Precip,11.83,14.63,16.63,13.75,13.72,0.03,Slightly Better (>.02),-0.0108,Nominal Change
9.0,More_Activity,No Precip,No Precip,No Precip,7.5,8.63,10.25,13.86,13.75,0.11,Significantly Better (>.10),0.0225,Slightly Better (>.02)
3.0,Same_Activity,No Precip,No Precip,No Precip,8.33,12.88,15.5,13.665,13.86,-0.195,Significantly Worse (<-.10),0.125,Significantly Better (>.10)
-2.0,Same_Activity,No Precip,No Precip,No Precip,11.67,16.13,23.63,13.76,13.736,0.0238,Slightly Better (>.02),0.0356,Slightly Better (>.02)
-4.0,Same_Activity,No Precip,No Precip,No Precip,11.17,16.5,14.75,13.863,13.76,0.1025,Significantly Better (>.10),0.0356,Slightly Better (>.02)
-6.0,Less_Activity,No Precip,No Precip,No Precip,12.08,17.75,18.5,14.07,13.863,0.2075,Significantly Better (>.10),0.1144,Significantly Better (>.10)
-1.0,Same_Activity,No Precip,Light Precip,Light Precip,14.42,14.0,15.75,14.143,14.07,0.0725,Better (>.05),0.2588,Significantly Better (>.10)
-12.0,Less_Activity,No Precip,No Precip,No Precip,6.67,2.0,2.25,14.073,14.096,-0.0233,Slightly Worse (<-.02),-0.035,Slightly Worse (<-.02)
-19.0,Less_Activity,No Precip,No Precip,No Precip,6.58,9.75,15.38,13.88,14.073,-0.1925,Significantly Worse (<-.10),-0.035,Slightly Worse (<-.02)
-3.0,Same_Activity,No Precip,No Precip,No Precip,7.92,11.75,14.0,14.02,13.88,0.14,Significantly Better (>.10),-0.2042,Significantly Worse (<-.10)
-36.0,Less_Activity,No Precip,No Precip,No Precip,14.0,13.38,12.88,13.8,14.02,-0.22,Significantly Worse (<-.10),0.0438,Slightly Better (>.02)
-7.0,Less_Activity,No Precip,No Precip,No Precip,6.0,11.13,14.8,13.83,13.819,0.0108,Nominal Change,0.0163,Nominal Change
0.0,Same_Activity,No Precip,No Precip,No Precip,10.17,13.75,18.13,13.68,13.83,-0.15,Significantly Worse (<-.10),0.0163,Nominal Change
-17.0,Less_Activity,No Precip,No Precip,No Precip,6.0,6.93,6.25,13.53,13.685,-0.155,Significantly Worse (<-.10),-0.07,Worse (<-.05)
-1.0,Same_Activity,No Precip,No Precip,No Precip,6.0,9.38,11.5,13.35,13.53,-0.18,Significantly Worse (<-.10),-0.1525,Significantly Worse (<-.10)
0.0,Same_Activity,No Precip,No Precip,No Precip,9.58,12.3,15.0,13.39,13.377,0.0133,Nominal Change,0.02,Slightly Better (>.02)
-17.0,Less_Activity,Precip,No Precip,No Precip,15.65,16.33,18.6,13.498,13.39,0.1075,Significantly Better (>.10),0.02,Nominal Change
-7.0,Less_Activity,Precip,Light Precip,Light Precip,9.75,8.55,11.75,13.438,13.498,-0.06,Worse (<-.05),0.1142,Significantly Better (>.10)
0.0,Same_Activity,No Precip,No Precip,No Precip,12.58,14.0,13.4,13.135,13.438,-0.3025,Significantly Worse (<-.10),-0.0063,Nominal Change
0.0,Same_Activity,No Precip,No Precip,No Precip,6.08,6.25,6.5,13.19,13.135,0.055,Better (>.05),-0.3325,Significantly Worse (<-.10)
-1.0,Same_Activity,No Precip,No Precip,No Precip,6.25,9.05,18.38,13.145,13.16,-0.015,Nominal Change,-0.0225,Slightly Worse (<-.02)
0.0,Same_Activity,No Precip,No Precip,No Precip,5.42,7.13,7.0,13.43,13.145,0.285,Significantly Better (>.10),-0.0225,Slightly Worse (<-.02)
-7.0,Less_Activity,No Precip,No Precip,No Precip,3.5,10.25,15.38,13.443,13.43,0.0125,Nominal Change,0.2775,Significantly Better (>.10)
1.0,Same_Activity,No Precip,No Precip,No Precip,7.83,7.25,5.5,13.14,13.063,0.0775,Better (>.05),-0.3738,Significantly Worse (<-.10)
-1.0,Same_Activity,Light Precip,No Precip,No Precip,9.65,6.0,4.25,13.37,13.313,0.0575,Better (>.05),0.0863,Better (>.05)
-1.0,Same_Activity,No Precip,No Precip,No Precip,2.83,2.75,6.0,13.243,13.37,-0.1275,Significantly Worse (<-.10),0.0863,Better (>.05)
-23.0,Less_Activity,No Precip,No Precip,No Precip,0.5,4.0,6.25,13.4,13.243,0.1575,Significantly Better (>.10),-0.0988,Worse (<-.05)
-10.0,Less_Activity,No Precip,No Precip,No Precip,0.25,1.75,3.0,13.465,13.4,0.065,Better (>.05),0.0938,Better (>.05)
-12.0,Less_Activity,No Precip,No Precip,No Precip,5.38,10.38,8.0,13.493,13.483,0.0092,Nominal Change,0.0138,Nominal Change
-19.0,Less_Activity,No Precip,No Precip,No Precip,8.08,6.0,5.5,13.525,13.493,0.0325,Slightly Better (>.02),0.0138,Nominal Change
-25.0,Less_Activity,No Precip,No Precip,No Precip,5.33,9.75,8.75,13.675,13.525,0.15,Significantly Better (>.10),0.0371,Slightly Better (>.02)
-24.0,Less_Activity,No Precip,Precip,Light Precip,9.33,11.68,12.5,13.81,13.675,0.135,Significantly Better (>.10),0.1663,Significantly Better (>.10)
-17.0,Less_Activity,No Precip,Precip,Precip,7.55,8.03,13.2,13.86,13.81,0.05,Slightly Better (>.02),0.21,Significantly Better (>.10)
-16.0,Less_Activity,No Precip,No Precip,No Precip,3.88,4.75,3.38,13.855,13.857,-0.0017,Nominal Change,-0.0025,Nominal Change
-15.0,Less_Activity,No Precip,No Precip,Precip,2.17,6.5,14.48,13.993,13.855,0.1375,Significantly Better (>.10),-0.0025,Nominal Change
-10.0,Less_Activity,No Precip,No Precip,No Precip,7.67,8.13,3.5,13.853,13.863,-0.01,Nominal Change,-0.0613,Worse (<-.05)
-46.0,Less_Activity,No Precip,No Precip,No Precip,5.08,5.38,5.75,13.763,13.853,-0.09,Worse (<-.05),-0.075,Worse (<-.05)
-17.0,Less_Activity,No Precip,No Precip,No Precip,0.75,7.0,9.88,13.683,13.709,-0.0267,Slightly Worse (<-.02),-0.04,Slightly Worse (<-.02)
-13.0,Less_Activity,No Precip,No Precip,No Precip,4.92,8.88,9.0,13.715,13.683,0.0325,Slightly Better (>.02),-0.04,Slightly Worse (<-.02)
-18.0,Less_Activity,Precip,Light Precip,Light Precip,8.7,10.03,10.5,13.773,13.715,0.0575,Better (>.05),0.0192,Nominal Change
-6.0,Less_Activity,No Precip,No Precip,No Precip,5.0,6.75,6.18,13.61,13.773,-0.1625,Significantly Worse (<-.10),0.0738,Better (>.05)
-6.0,Less_Activity,No Precip,No Precip,No Precip,1.58,2.38,6.38,13.583,13.61,-0.0275,Slightly Worse (<-.02),-0.1338,Significantly Worse (<-.10)
-17.0,Less_Activity,No Precip,No Precip,No Precip,4.25,5.13,9.83,13.683,13.649,0.0333,Slightly Better (>.02),0.05,Better (>.05)
-4.0,Same_Activity,No Precip,No Precip,No Precip,6.92,8.88,11.63,13.61,13.683,-0.0725,Worse (<-.05),0.05,Slightly Better (>.02)
-18.0,Less_Activity,No Precip,No Precip,No Precip,8.08,4.5,6.5,13.715,13.61,0.105,Significantly Better (>.10),-0.0558,Worse (<-.05)
-13.0,Less_Activity,No Precip,No Precip,No Precip,1.5,4.25,5.75,13.485,13.715,-0.23,Significantly Worse (<-.10),0.0688,Better (>.05)
-6.0,Less_Activity,No Precip,No Precip,No Precip,3.58,3.75,6.5,13.34,13.485,-0.145,Significantly Worse (<-.10),-0.1775,Significantly Worse (<-.10)
-12.0,Less_Activity,No Precip,No Precip,No Precip,1.67,4.75,6.75,13.148,13.212,-0.0642,Worse (<-.05),-0.0963,Worse (<-.05)
-21.0,Less_Activity,No Precip,No Precip,No Precip,9.75,13.68,17.13,13.123,13.148,-0.025,Slightly Worse (<-.02),-0.0963,Worse (<-.05)
-11.0,Less_Activity,No Precip,No Precip,No Precip,4.92,2.25,7.88,13.083,13.123,-0.04,Slightly Worse (<-.02),-0.0571,Worse (<-.05)
-2.0,Same_Activity,No Precip,No Precip,No Precip,3.67,5.25,9.38,13.435,13.083,0.3525,Significantly Better (>.10),-0.0525,Worse (<-.05)
22.0,More_Activity,No Precip,No Precip,No Precip,7.25,8.25,6.15,13.308,13.435,-0.1275,Significantly Worse (<-.10),0.3325,Significantly Better (>.10)
3.0,Same_Activity,No Precip,No Precip,No Precip,4.0,6.5,9.0,13.415,13.379,0.0358,Slightly Better (>.02),0.0538,Better (>.05)
2.0,Same_Activity,No Precip,No Precip,No Precip,9.25,9.38,15.63,13.353,13.415,-0.0625,Worse (<-.05),0.0538,Better (>.05)
-1.0,Same_Activity,No Precip,No Precip,No Precip,5.8,4.0,9.25,13.568,13.353,0.215,Significantly Better (>.10),-0.0446,Slightly Worse (<-.02)
-1.0,Same_Activity,No Precip,No Precip,No Precip,0.5,5.63,11.13,13.52,13.568,-0.0475,Slightly Worse (<-.02),0.1838,Significantly Better (>.10)
1.0,Same_Activity,No Precip,No Precip,No Precip,4.42,7.63,10.38,13.603,13.52,0.0825,Better (>.05),0.06,Better (>.05)
1.0,Same_Activity,No Precip,No Precip,No Precip,0.0,5.38,8.5,13.735,13.691,0.0442,Slightly Better (>.02),0.0663,Better (>.05)
1.0,Same_Activity,Light Precip,Light Precip,No Precip,10.95,7.25,10.5,13.815,13.735,0.08,Better (>.05),0.0663,Better (>.05)
-2.0,Same_Activity,No Precip,No Precip,No Precip,9.5,12.25,19.38,13.85,13.815,0.035,Slightly Better (>.02),0.1021,Significantly Better (>.10)
-1.0,Same_Activity,No Precip,No Precip,No Precip,5.42,0.38,2.0,13.8,13.85,-0.05,Slightly Worse (<-.02),0.075,Better (>.05)
-10.0,Less_Activity,No Precip,No Precip,No Precip,6.25,7.75,9.38,14.163,13.8,0.3625,Significantly Better (>.10),-0.0325,Slightly Worse (<-.02)
-6.0,Less_Activity,No Precip,No Precip,No Precip,0.5,1.25,7.5,14.275,14.238,0.0375,Slightly Better (>.02),0.0563,Better (>.05)
-1.0,Same_Activity,No Precip,No Precip,No Precip,4.67,6.5,8.0,14.363,14.275,0.0875,Better (>.05),0.0563,Better (>.05)
-3.0,Same_Activity,No Precip,No Precip,No Precip,6.17,5.5,7.08,14.458,14.363,0.095,Better (>.05),0.1063,Significantly Better (>.10)
-9.0,Less_Activity,No Precip,No Precip,No Precip,8.92,10.5,8.75,14.39,14.458,-0.0675,Worse (<-.05),0.1388,Significantly Better (>.10)
0.0,Same_Activity,No Precip,No Precip,No Precip,4.5,0.63,5.0,14.125,14.203,-0.0775,Worse (<-.05),-0.0403,Slightly Worse (<-.02)
0.0,Same_Activity,No Precip,No Precip,No Precip,0.0,4.75,10.0,14.12,14.125,-0.005,Nominal Change,-0.0909,Worse (<-.05)
-3.0,Same_Activity,No Precip,No Precip,No Precip,3.42,5.63,7.5,14.058,14.12,-0.0625,Worse (<-.05),-0.0438,Slightly Worse (<-.02)
2.0,Same_Activity,No Precip,No Precip,No Precip,5.0,11.13,17.25,14.0,14.019,-0.0192,Nominal Change,-0.0288,Slightly Worse (<-.02)
0.0,Same_Activity,No Precip,No Precip,No Precip,10.83,8.75,7.5,13.91,14.0,-0.09,Worse (<-.05),-0.0288,Slightly Worse (<-.02)
-2.0,Same_Activity,No Precip,No Precip,No Precip,12.0,8.88,13.75,13.85,13.91,-0.06,Worse (<-.05),-0.0996,Worse (<-.05)
0.0,Same_Activity,No Precip,No Precip,No Precip,2.33,4.25,2.88,13.6,13.85,-0.25,Significantly Worse (<-.10),-0.105,Significantly Worse (<-.10)
0.0,Same_Activity,No Precip,No Precip,No Precip,5.25,6.38,12.88,13.553,13.6,-0.0475,Slightly Worse (<-.02),-0.28,Significantly Worse (<-.10)
2.0,Same_Activity,No Precip,No Precip,No Precip,0.72,2.95,6.63,13.358,13.423,-0.065,Worse (<-.05),-0.0975,Worse (<-.05)
2.0,Same_Activity,No Precip,Light Precip,Light Precip,7.58,13.88,15.38,13.38,13.358,0.0225,Slightly Better (>.02),-0.0975,Worse (<-.05)
-2.0,Same_Activity,No Precip,Light Precip,Light Precip,15.23,16.45,18.03,13.22,13.38,-0.16,Significantly Worse (<-.10),-0.01,Nominal Change
0.0,Same_Activity,No Precip,No Precip,No Precip,0.25,1.13,3.25,12.56,12.85,-0.29,Significantly Worse (<-.10),-0.45,Significantly Worse (<-.10)
-2.0,Same_Activity,No Precip,No Precip,No Precip,9.32,10.63,18.33,12.595,12.583,0.0117,Nominal Change,0.0175,Nominal Change
0.0,Same_Activity,No Precip,Light Precip,Light Precip,7.65,6.55,5.5,12.605,12.595,0.01,Nominal Change,0.0175,Nominal Change
1.0,Same_Activity,No Precip,No Precip,No Precip,1.0,3.75,5.13,12.235,12.605,-0.37,Significantly Worse (<-.10),0.0158,Nominal Change
-3.0,Same_Activity,No Precip,No Precip,No Precip,8.17,20.63,26.75,12.303,12.235,0.0675,Better (>.05),-0.365,Significantly Worse (<-.10)
-1.0,Same_Activity,No Precip,No Precip,No Precip,11.0,11.88,10.0,11.79,12.303,-0.5125,Significantly Worse (<-.10),-0.1175,Significantly Worse (<-.10)
7.0,More_Activity,No Precip,No Precip,No Precip,3.75,2.5,8.0,11.758,11.768,-0.0108,Nominal Change,-0.0163,Nominal Change
24.0,More_Activity,No Precip,No Precip,No Precip,7.08,7.5,15.5,11.5,11.643,-0.1425,Significantly Worse (<-.10),-0.0363,Slightly Worse (<-.02)
13.0,More_Activity,No Precip,No Precip,No Precip,10.92,16.75,22.88,11.583,11.5,0.0825,Better (>.05),-0.1213,Significantly Worse (<-.10)
-28.0,Less_Activity,No Precip,No Precip,No Precip,13.58,9.75,12.88,11.638,11.583,0.0558,Better (>.05),0.0113,Nominal Change
-37.0,Less_Activity,No Precip,No Precip,No Precip,9.25,10.25,14.0,11.75,11.694,0.0558,Better (>.05),0.0838,Better (>.05)
-2.0,Same_Activity,No Precip,No Precip,No Precip,5.75,6.63,10.13,12.35,11.75,0.6,Significantly Better (>.10),0.0838,Better (>.05)
-37.0,Less_Activity,No Precip,No Precip,Precip,7.67,8.25,8.88,12.218,12.35,-0.1325,Significantly Worse (<-.10),0.6279,Significantly Better (>.10)
16.0,More_Activity,No Precip,No Precip,No Precip,4.1,13.13,15.7,12.568,12.218,0.35,Significantly Better (>.10),0.1675,Significantly Better (>.10)
3.0,Same_Activity,No Precip,No Precip,No Precip,9.83,17.48,19.5,12.62,12.568,0.0525,Better (>.05),0.2838,Significantly Better (>.10)
-1.0,Same_Activity,No Precip,No Precip,No Precip,12.17,11.75,16.38,12.582,12.62,-0.0383,Slightly Worse (<-.02),0.2275,Significantly Better (>.10)
9.0,More_Activity,No Precip,No Precip,No Precip,11.42,15.13,18.38,12.505,12.543,-0.0383,Slightly Worse (<-.02),-0.0575,Worse (<-.05)
-6.0,Less_Activity,No Precip,No Precip,No Precip,9.58,12.63,15.25,12.5,12.505,-0.005,Nominal Change,-0.0575,Worse (<-.05)
2.0,Same_Activity,No Precip,No Precip,No Precip,11.67,11.25,12.88,12.508,12.5,0.0075,Nominal Change,-0.0242,Slightly Worse (<-.02)
4.0,Same_Activity,No Precip,No Precip,No Precip,10.08,12.75,13.63,12.248,12.508,-0.26,Significantly Worse (<-.10),0.005,Nominal Change
-3.0,Same_Activity,No Precip,No Precip,No Precip,2.08,2.88,7.63,12.12,12.248,-0.1275,Significantly Worse (<-.10),-0.2563,Significantly Worse (<-.10)
-11.0,Less_Activity,No Precip,No Precip,No Precip,6.92,4.0,5.63,12.163,12.12,0.0425,Slightly Better (>.02),-0.2575,Significantly Worse (<-.10)
-5.0,Same_Activity,No Precip,No Precip,No Precip,1.33,3.0,0.75,12.248,12.205,0.0425,Slightly Better (>.02),0.0638,Better (>.05)
2.0,Same_Activity,No Precip,No Precip,No Precip,14.08,17.13,17.38,12.2,12.248,-0.0475,Slightly Worse (<-.02),0.0638,Better (>.05)
-2.0,Same_Activity,No Precip,No Precip,No Precip,3.95,4.0,5.0,12.105,12.2,-0.095,Worse (<-.05),-0.0263,Slightly Worse (<-.02)
-5.0,Same_Activity,No Precip,No Precip,No Precip,1.67,3.75,9.25,12.35,12.105,0.245,Significantly Better (>.10),-0.1188,Significantly Worse (<-.10)
1.0,Same_Activity,No Precip,No Precip,No Precip,0.5,3.38,12.0,12.3,12.35,-0.05,Slightly Worse (<-.02),0.1975,Significantly Better (>.10)
-3.0,Same_Activity,No Precip,No Precip,No Precip,2.25,1.5,6.13,12.224,12.3,-0.0758,Worse (<-.05),0.0725,Better (>.05)
-6.0,Less_Activity,No Precip,No Precip,No Precip,2.73,2.4,4.83,12.073,12.148,-0.0758,Worse (<-.05),-0.1138,Significantly Worse (<-.10)
-16.0,Less_Activity,No Precip,No Precip,No Precip,7.58,3.63,0.75,11.855,12.073,-0.2175,Significantly Worse (<-.10),-0.1138,Significantly Worse (<-.10)
-2.0,Same_Activity,No Precip,No Precip,No Precip,8.67,8.25,11.5,12.055,11.855,0.2,Significantly Better (>.10),-0.2554,Significantly Worse (<-.10)
-5.0,Same_Activity,No Precip,No Precip,No Precip,4.17,2.13,1.38,12.115,12.055,0.06,Better (>.05),0.0913,Better (>.05)
9.0,More_Activity,No Precip,No Precip,No Precip,1.0,6.13,13.13,12.145,12.115,0.03,Slightly Better (>.02),0.16,Significantly Better (>.10)
-13.0,Less_Activity,No Precip,No Precip,No Precip,13.75,14.88,18.38,12.129,12.145,-0.0158,Nominal Change,0.06,Better (>.05)
-1.0,Same_Activity,No Precip,No Precip,No Precip,9.0,8.75,9.63,12.098,12.113,-0.0158,Nominal Change,-0.0238,Slightly Worse (<-.02)
-9.0,Less_Activity,No Precip,No Precip,No Precip,4.25,5.88,7.88,11.995,12.098,-0.1025,Significantly Worse (<-.10),-0.0238,Slightly Worse (<-.02)
2.0,Same_Activity,No Precip,No Precip,No Precip,6.92,4.88,13.0,11.828,11.995,-0.1675,Significantly Worse (<-.10),-0.1104,Significantly Worse (<-.10)
1.0,Same_Activity,No Precip,No Precip,No Precip,14.08,16.33,14.0,11.79,11.828,-0.0375,Slightly Worse (<-.02),-0.2188,Significantly Worse (<-.10)
5.0,Same_Activity,No Precip,No Precip,No Precip,6.33,11.0,12.75,11.668,11.79,-0.1225,Significantly Worse (<-.10),-0.1213,Significantly Worse (<-.10)
-3.0,Same_Activity,No Precip,No Precip,No Precip,6.67,6.0,12.75,11.778,11.741,0.0367,Slightly Better (>.02),0.055,Better (>.05)
-4.0,Same_Activity,No Precip,No Precip,No Precip,5.5,5.75,11.13,11.995,11.778,0.2175,Significantly Better (>.10),0.055,Better (>.05)
-2.0,Same_Activity,No Precip,No Precip,No Precip,9.33,10.13,15.13,11.855,11.995,-0.14,Significantly Worse (<-.10),0.2358,Significantly Better (>.10)
0.0,Same_Activity,No Precip,No Precip,No Precip,9.92,7.0,7.38,11.68,11.855,-0.175,Significantly Worse (<-.10),-0.0313,Slightly Worse (<-.02)
-3.0,Same_Activity,No Precip,No Precip,No Precip,10.42,10.38,10.88,11.683,11.68,0.0025,Nominal Change,-0.245,Significantly Worse (<-.10)
0.0,Same_Activity,Light Precip,No Precip,No Precip,9.42,10.63,13.0,11.28,11.3,-0.02,Slightly Worse (<-.02),0.0613,Better (>.05)
0.0,Same_Activity,No Precip,No Precip,No Precip,16.18,13.13,9.13,12.915,12.877,0.0383,Slightly Better (>.02),0.0575,Better (>.05)
-1.0,Same_Activity,No Precip,Light Precip,Light Precip,5.95,10.0,12.15,13.01,12.915,0.095,Better (>.05),0.0575,Better (>.05)
2.0,Same_Activity,No Precip,No Precip,No Precip,6.22,2.63,5.45,13.09,13.073,0.0175,Nominal Change,0.11,Significantly Better (>.10)
2.0,Same_Activity,No Precip,No Precip,No Precip,8.58,6.88,6.0,13.488,13.295,0.1925,Significantly Better (>.10),-0.0354,Slightly Worse (<-.02)
1.0,Same_Activity,No Precip,No Precip,No Precip,2.0,6.25,10.25,13.693,13.673,0.02,Slightly Better (>.02),0.2813,Significantly Better (>.10)
0.0,Same_Activity,Light Precip,No Precip,No Precip,14.75,16.63,21.25,13.79,13.743,0.0475,Slightly Better (>.02),0.0713,Better (>.05)
-5.0,Same_Activity,No Precip,No Precip,No Precip,20.83,19.13,17.25,14.2,14.136,0.0642,Better (>.05),0.0963,Better (>.05)
-12.0,Less_Activity,No Precip,No Precip,No Precip,13.88,17.18,15.0,14.15,14.2,-0.05,Slightly Worse (<-.02),0.0963,Better (>.05)
-25.0,Less_Activity,No Precip,No Precip,No Precip,4.83,6.38,10.0,14.188,14.15,0.0375,Slightly Better (>.02),-0.0179,Nominal Change
-18.0,Less_Activity,No Precip,No Precip,No Precip,10.42,11.75,9.38,14.238,14.188,0.05,Better (>.05),0.0125,Nominal Change
-17.0,Less_Activity,No Precip,No Precip,No Precip,10.5,16.63,17.0,14.308,14.29,0.0175,Nominal Change,0.0263,Slightly Better (>.02)
-31.0,Less_Activity,No Precip,No Precip,No Precip,5.75,14.13,15.38,14.235,14.308,-0.0725,Worse (<-.05),0.0263,Slightly Better (>.02)
-29.0,Less_Activity,No Precip,No Precip,No Precip,8.08,5.75,1.63,14.13,14.235,-0.105,Significantly Worse (<-.10),-0.0638,Worse (<-.05)
-24.0,Less_Activity,No Precip,No Precip,No Precip,1.83,2.13,8.25,14.433,14.13,0.3025,Significantly Better (>.10),-0.1413,Significantly Worse (<-.10)
-17.0,Less_Activity,No Precip,Light Precip,Light Precip,15.5,17.75,24.0,14.385,14.433,-0.0475,Slightly Worse (<-.02),0.25,Significantly Better (>.10)
-9.0,Less_Activity,Light Precip,No Precip,No Precip,20.53,20.98,17.88,14.203,14.263,-0.0608,Worse (<-.05),-0.0913,Worse (<-.05)
-5.0,Same_Activity,No Precip,No Precip,No Precip,1.0,3.88,7.88,14.29,14.203,0.0875,Better (>.05),-0.0913,Worse (<-.05)
-9.0,Less_Activity,Light Precip,No Precip,No Precip,11.58,15.2,15.9,14.045,14.29,-0.245,Significantly Worse (<-.10),0.0571,Better (>.05)
-1.0,Same_Activity,No Precip,No Precip,No Precip,7.5,11.63,12.63,14.223,14.045,0.1775,Significantly Better (>.10),-0.2013,Significantly Worse (<-.10)
-13.0,Less_Activity,No Precip,No Precip,No Precip,9.67,12.38,9.5,14.55,14.223,0.3275,Significantly Better (>.10),0.055,Better (>.05)
-9.0,Less_Activity,No Precip,No Precip,No Precip,0.5,2.25,7.13,14.35,14.417,-0.0667,Worse (<-.05),-0.1,Significantly Worse (<-.10)
-10.0,Less_Activity,No Precip,No Precip,No Precip,6.33,9.38,7.0,14.6,14.35,0.25,Significantly Better (>.10),-0.1,Worse (<-.05)
-18.0,Less_Activity,Light Precip,No Precip,No Precip,11.38,12.5,9.38,14.688,14.6,0.0875,Better (>.05),0.2167,Significantly Better (>.10)
-3.0,Same_Activity,No Precip,No Precip,No Precip,12.17,16.38,11.25,14.79,14.688,0.1025,Significantly Better (>.10),0.2125,Significantly Better (>.10)
-7.0,Less_Activity,No Precip,No Precip,No Precip,6.75,14.13,13.5,14.933,14.79,0.1425,Significantly Better (>.10),0.1463,Significantly Better (>.10)
-10.0,Less_Activity,No Precip,No Precip,No Precip,5.63,1.5,6.0,14.895,14.907,-0.0125,Nominal Change,-0.0188,Nominal Change
